id,name,age,voice,default_group,is_hero,is_female,culture,skill_template,occupation,face_mesh_cache,is_new,is_dead,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,Crafting,Scouting,Tactics,Roguery,Charm,Leadership,Trade,Steward,Medicine,Engineering
lord_1_1_10,{=aom_lord_1_1_10_name}Haldis Redmist,21,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_matriarch_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_1_11,{=aom_lord_1_1_11_name}Yrla Ghostpelt,20,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_physician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_1_12,{=aom_lord_1_1_12_name}Freya Clawrend,22,curt,Infantry,true,true,Culture.empire,SkillSet.spc_swordsman_skills,Lord,true,,,130,230,110,100,60,120,55,215,90,145,170,,140,60,85,125,95,
lord_1_1_13,{=aom_lord_1_1_13_name}Gundrun Ironpaw,24,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_healer_scholar_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_1_14,{=aom_lord_1_1_14_name}Morgith,25,softspoken,Ranged,true,true,Culture.empire,SkillSet.spc_intriguer_skills,Lord,true,,,115,105,100,235,75,125,50,205,80,155,165,,140,60,85,120,100,
lord_1_1_15,{=aom_lord_1_1_15_name}Aelwyn Hawkeye,41,softspoken,HorseArcher,true,true,Culture.empire,SkillSet.spc_healer_scholar_skills,Lord,true,,,110,90,100,235,75,125,215,185,80,170,165,,140,60,85,125,100,
lord_1_1_16,{=aom_lord_1_1_16_name}Brianna Wingdart,19,softspoken,HorseArcher,true,true,Culture.empire,SkillSet.spc_intriguer_skills_rookie,Lord,true,,,110,90,100,230,75,125,215,185,80,170,165,,140,160,85,125,100,
lord_1_1_17,{=aom_lord_1_1_17_name}Branoc Feathershaft,31,curt,Ranged,true,false,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,115,105,100,235,75,125,50,205,80,155,165,,130,60,85,120,90,
lord_1_1_2,{=aom_lord_1_1_2_name}Sigga Wyrmbane,19,earnest,Infantry,true,true,Culture.empire,SkillSet.spc_spy_master_skills_rookie,Lord,true,,,230,165,135,115,65,155,55,215,85,145,175,,135,115,85,125,95,
lord_1_1_3,{=aom_lord_1_1_3_name}Sigrun Boarfang,18,ironic,Infantry,true,true,Culture.empire,SkillSet.spc_matriarch_skills_rookie,Lord,true,,,230,165,135,115,65,155,55,215,85,145,170,,135,60,85,125,95,
lord_1_1_4,{=aom_lord_1_1_4_name}Thyra Bloodtusk,32,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_diplomat_skills,Lord,true,,,235,170,140,110,60,160,50,220,85,145,175,,130,60,80,120,90,
lord_1_1_5,{=aom_lord_1_1_5_name}Hilda Bonecrusher,22,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_dandy_skills,Lord,true,,,245,175,140,110,60,165,50,225,85,140,170,,130,60,80,120,90,
lord_1_1_6,"{=aom_lord_1_1_6_name}Yrsa, the Winter Boar",19,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_siege_engineering_skills_rookie,Lord,true,,,230,165,135,115,65,155,55,220,85,155,170,,135,60,85,125,95,
lord_1_1_7,{=aom_lord_1_1_7_name}Freydis Oxmane,46,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,230,165,135,115,65,155,55,215,85,145,170,,135,60,85,125,95,
lord_1_1_8,{=aom_lord_1_1_8_name}Eira Shadowclaw,22,earnest,Cavalry,true,true,Culture.empire,SkillSet.spc_physician_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_1_9,{=aom_lord_1_1_9_name}Sifra Bonewalker,46,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_2,{=aom_lord_1_2_name}Freya Wolfheart,52,curt,Infantry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,180,120,100,140,80,130,70,190,100,180,160,,230,110,150,240,170,
lord_1_20,{=aom_lord_1_20_name}Astrid Bearclaw,28,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_mounted_archery_skills,Lord,true,,,150,260,120,100,60,130,80,240,110,160,220,,200,150,110,210,100,
lord_1_21,{=aom_lord_1_21_name}Fenrik the Red Wolf,28,earnest,Infantry,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,240,170,140,120,70,160,60,220,90,150,180,,140,110,90,130,100,
lord_1_22,{=aom_lord_1_22_name}Bjornric Strongarm,23,earnest,Infantry,true,,Culture.empire,SkillSet.spc_trader_skills,Lord,true,,,240,170,140,110,60,160,50,220,90,145,170,,130,50,80,120,90,
lord_1_23,{=aom_lord_1_23_name}Jastion,26,earnest,Cavalry,true,,Culture.empire,SkillSet.spc_phalanx_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_24,{=aom_lord_1_24_name}Tadeos,21,ironic,Cavalry,true,,Culture.empire,SkillSet.spc_politician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_25,{=aom_lord_1_25_name}Eronyx,22,earnest,Cavalry,true,,Culture.empire,SkillSet.spc_phalanx_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_26,{=aom_lord_1_26_name}Meritor,20,softspoken,HorseArcher,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_27,{=aom_lord_1_27_name}Maugrash,37,earnest,Infantry,true,,Culture.empire,SkillSet.spc_diplomat_skills,Lord,true,,,240,230,260,200,150,180,250,290,250,300,290,,100,280,50,250,180,
lord_1_27_1,{=aom_lord_1_27_1_name}Verina,37,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_intriguer_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_27_2,{=aom_lord_1_27_2_name}Throznak,18,earnest,Infantry,true,false,Culture.empire,SkillSet.spc_intriguer_skills_rookie,Lord,true,,,240,230,260,200,150,180,250,290,250,300,290,,100,280,50,250,180,
lord_1_27_3,{=aom_lord_1_27_3_name}Vasilia,18,earnest,Cavalry,true,true,Culture.empire,SkillSet.spc_faris_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_28,"{=aom_lord_1_28_name}NazgÃ»l, The Betrayer",25,earnest,Infantry,true,,Culture.empire,SkillSet.spc_politician_skills,Lord,true,,,305,295,290,200,150,180,350,309,250,300,290,,100,290,50,250,180,
lord_1_29,{=aom_lord_1_29_name}Sanion,23,earnest,Infantry,true,,Culture.empire,SkillSet.spc_huntress_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_3,"{=aom_lord_1_3_name}Gorwulf, The Boar ",56,curt,Infantry,true,,Culture.empire,SkillSet.spc_knight_skills,Lord,true,,,245,175,145,110,65,165,55,225,85,140,175,,130,115,80,125,95,
lord_1_30,"{=aom_lord_1_30_name}Gothmog, Lieutenant of Morgul",24,earnest,Infantry,true,,Culture.empire,SkillSet.spc_shock_troop_skills_rookie,Lord,true,,,280,260,270,120,100,130,200,220,50,150,280,,80,250,50,200,60,
lord_1_30_1,{=aom_lord_1_30_1_name}Svala Redfang,23,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_30_2,{=aom_lord_1_30_2_name}Callinia,3,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_phalanx_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_30_3,{=aom_lord_1_30_3_name}Synesios,2,softspoken,Cavalry,true,false,Culture.empire,SkillSet.spc_artisan_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_31,{=aom_lord_1_31_name}Zrsa Blackfang,20,earnest,Infantry,true,true,Culture.empire,SkillSet.spc_healer_scholar_skills_rookie,Lord,true,,,235,165,135,115,65,155,55,215,85,145,175,,135,115,85,125,95,
lord_1_32,{=aom_lord_1_32_name}Eldra Boarsong,21,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills_rookie,Lord,true,,,230,165,135,115,65,155,55,215,85,145,170,,135,160,85,125,95,
lord_1_33,{=aom_lord_1_33_name}Brigid the Howling,22,ironic,Cavalry,true,true,Culture.empire,SkillSet.spc_politician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_34,{=aom_lord_1_34_name}Faramir,24,earnest,Ranged,true,true,Culture.empire,,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_35,{=aom_lord_1_35_name}Amenon,38,softspoken,Cavalry,true,,Culture.empire,SkillSet.spc_knight_skills,Lord,,,,,,,,,,,,,,,,,,,,,
lord_1_36,{=aom_lord_1_36_name}Phaea,20,ironic,Cavalry,true,true,Culture.empire,SkillSet.spc_knight_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_37,{=aom_lord_1_37_name}Goshank,21,ironic,Cavalry,true,true,Culture.empire,SkillSet.spc_cavalry_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_38,"{=aom_lord_1_38_name}NazgÃ»l, the Undying",17,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_knight_skills_rookie,Lord,true,,,305,295,290,200,150,180,350,309,250,300,290,,100,295,50,250,180,
lord_1_39,{=aom_lord_1_39_name}Debana,20,ironic,Cavalry,true,true,Culture.empire,SkillSet.spc_knight_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_4,{=aom_lord_1_4_name}Brunhild Ironclaw,53,curt,Infantry,true,true,Culture.empire,SkillSet.spc_physician_skills,Lord,true,,,230,165,135,115,65,155,55,215,85,145,170,,135,110,85,125,95,
lord_1_40,{=aom_lord_1_40_name}Dervorin,35,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_phalanx_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_40_1,{=aom_lord_1_40_1_name}Catella,33,earnest,Cavalry,true,True,Culture.empire,SkillSet.spc_intriguer_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_41,{=aom_lord_1_41_name}Beregund Wolfborn,50,curt,Infantry,true,,Culture.empire,SkillSet.spc_tactician_skills,Lord,true,,,240,170,140,120,70,160,60,210,80,150,180,,140,100,90,130,100,
lord_1_411,{=aom_lord_1_411_name}Grimwulf Ironfang,19,curt,Infantry,true,,Culture.empire,SkillSet.spc_intriguer_skills_rookie,Lord,true,,,230,160,130,110,60,150,50,220,90,140,170,,130,110,80,120,90,
lord_1_42,{=aom_lord_1_42_name}Hrodgar Ironhide,37,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_mounted_archery_skills,Lord,true,,,235,165,135,115,65,155,55,215,85,145,175,,135,165,85,125,95,
lord_1_422,{=aom_lord_1_422_name}Drengulf Irontusk,17,softspoken,HorseArcher,true,,Culture.empire,SkillSet.spc_horse_archer_skills_rookie,Lord,true,,,238,170,140,110,60,160,50,220,90,145,170,,130,60,80,120,90,
lord_1_43,{=aom_lord_1_43_name}Gormund Oxflank,48,curt,Infantry,true,,Culture.empire,SkillSet.spc_berserker_skills,Lord,true,,,238,165,135,115,65,155,55,220,85,145,170,,135,60,85,125,95,
lord_1_44,{=aom_lord_1_44_name}Nemos,38,curt,Cavalry,true,,Culture.empire,SkillSet.spc_siege_engineering_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_45,"{=aom_lord_1_45_name}Forlong, Lord of Lossarnach",38,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_diplomat_skills,Lord,true,,,230,210,200,150,100,120,150,180,50,150,200,,180,230,100,200,80,80
lord_1_45_1,{=aom_lord_1_45_1_name}Vanyalos,38,earnest,Cavalry,true,True,Culture.empire,SkillSet.spc_matriarch_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_45_2,{=aom_lord_1_45_2_name}Brandir,19,earnest,Cavalry,true,false,Culture.empire,SkillSet.spc_knight_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_45_3,{=aom_lord_1_45_3_name}Borlong,18,softspoken,Cavalry,true,false,Culture.empire,SkillSet.spc_trader_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_46,{=aom_lord_1_46_name}Milos,38,softspoken,Cavalry,true,,Culture.empire,SkillSet.spc_siege_engineering_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_46_1,{=aom_lord_1_46_1_name}Seorgys,19,ironic,Cavalry,true,false,Culture.empire,SkillSet.spc_phalanx_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_47,{=aom_lord_1_47_name}Ulbos,45,curt,Infantry,true,,Culture.empire,SkillSet.spc_tactician_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_47_1,{=aom_lord_1_47_1_name}Mina,38,earnest,Cavalry,true,true,Culture.empire,SkillSet.spc_matriarch_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_47_2,{=aom_lord_1_47_2_name}Casyrea,14,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_matriarch_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_47_3,{=aom_lord_1_47_3_name}Colambea,17,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_48,"{=aom_lord_1_48_name}Khamûl, the Easterling",39,earnest,Infantry,true,,Culture.empire,SkillSet.spc_knight_skills,Lord,true,,,320,320,320,280,120,360,320,305,450,480,420,,90,440,450,630,470,
lord_1_48_1,"{=aom_lord_1_48_1_name}NazgÃ»l, the Tainted",31,curt,Infantry,true,false,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,305,295,290,200,150,180,350,309,250,300,290,,100,295,50,250,180,
lord_1_48_2,"{=aom_lord_1_48_2_name}NazgÃ»l, the Shadow of Northmen",9,curt,Infantry,true,false,Culture.empire,SkillSet.spc_faris_skills_rookie,Lord,true,,,305,295,290,200,150,180,350,309,250,300,290,,100,295,50,250,180,
lord_1_48_3,"{=aom_lord_1_48_3_name}NazgÃ»l, the Shadow of Umbar",11,curt,Infantry,true,false,Culture.empire,SkillSet.spc_cavalry_skills_rookie,Lord,true,,,305,295,290,200,150,180,350,309,250,300,290,,100,305,50,250,180,
lord_1_49,{=aom_lord_1_49_name}Obron,51,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_knight_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_49_1,{=aom_lord_1_49_1_name}Tristania,37,ironic,Cavalry,true,true,Culture.empire,SkillSet.spc_spy_master_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_49_2,{=aom_lord_1_49_2_name}Gordiana,17,earnest,Cavalry,true,true,Culture.empire,SkillSet.spc_tactician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_5,{=aom_lord_1_5_name}Othric The Wild,51,earnest,Infantry,true,,Culture.empire,SkillSet.spc_politician_skills,Lord,true,,,260,190,160,120,70,170,80,240,100,165,220,,190,150,110,210,100,
lord_1_50,{=aom_lord_1_50_name}Corwyn Raveneye,33,softspoken,Ranged,true,,Culture.empire,SkillSet.spc_trader_skills,Lord,true,,,120,110,100,240,80,130,50,210,85,160,170,,135,60,85,125,95,
lord_1_51,{=aom_lord_1_51_name}Haldric Talonstrike,36,curt,HorseArcher,true,,Culture.empire,SkillSet.spc_swordsman_skills,Lord,true,,,120,100,110,260,80,130,250,190,90,180,220,,200,50,110,200,100,
lord_1_52,"{=aom_lord_1_52_name}Hirluin, Lord of Pinnath Gelin",36,ironic,Infantry,true,,Culture.empire,SkillSet.spc_siege_engineering_skills,Lord,true,,,230,210,200,150,100,120,150,180,50,150,200,,180,230,100,200,80,
lord_1_52_1,{=aom_lord_1_52_1_name}Arador,35,ironic,Infantry,true,false,Culture.empire,SkillSet.spc_courtier_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_52_2,{=aom_lord_1_52_2_name}Arvedui,16,earnest,Infantry,true,false,Culture.empire,SkillSet.spc_politician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_53,"{=aom_lord_1_53_name}Angbor, Lord of Lamedon",25,ironic,Infantry,true,,Culture.empire,SkillSet.spc_cavalry_skills,Lord,true,,,220,200,210,150,100,120,150,180,50,150,200,,180,230,100,200,80,
lord_1_54,"{=aom_lord_1_54_name}Shagrat, Captain of Cirith Ungol",28,ironic,Infantry,true,,Culture.empire,SkillSet.spc_spy_master_skills,Lord,true,,,240,230,260,200,150,180,250,290,250,300,290,,100,250,50,250,180,
lord_1_54_1,{=aom_lord_1_54_1_name}Constalia,26,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_politician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_55,{=aom_lord_1_55_name}Mathmog,28,softspoken,Cavalry,true,,Culture.empire,SkillSet.spc_cavalry_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_55_1,{=aom_lord_1_55_1_name}Megethia,26,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_courtier_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_56,"{=aom_lord_1_56_name}Tormund, the Hammer",41,curt,Cavalry,true,,Culture.empire,SkillSet.spc_tactician_skills,Lord,true,,,180,190,260,110,70,130,250,200,90,160,220,,200,100,110,210,100,
lord_1_56_1,{=aom_lord_1_56_1_name}Gwenna,37,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_courtier_skills,Lord,true,,,140,120,260,110,70,130,250,200,90,160,220,,200,50,110,210,100,
lord_1_56_2,{=aom_lord_1_56_2_name}Rustica,17,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_spy_master_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_57,{=aom_lord_1_57_name}Altenos,25,earnest,Cavalry,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_57_1,{=aom_lord_1_57_1_name}Sophalia,24,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_matriarch_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_57_2,{=aom_lord_1_57_2_name}Jephalia,2,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_tactician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_58,{=aom_lord_1_58_name}Gorvin the Fell,26,earnest,Infantry,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_6,{=aom_lord_1_6_name}Torvald Oxhorn,19,earnest,Cavalry,true,,Culture.empire,SkillSet.spc_knight_skills_rookie,Lord,true,,,240,170,140,110,60,160,55,225,90,145,175,,130,65,85,125,95,
lord_1_62,{=aom_lord_1_62_name}Sejaron,35,earnest,Cavalry,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_62_1,{=aom_lord_1_62_1_name}Arytha,35,softspoken,Cavalry,true,True,Culture.empire,SkillSet.spc_spy_master_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_63,"{=aom_lord_1_63_name}Gorbag, Captain of Minas Morgul",33,curt,Infantry,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,240,230,260,200,150,180,250,290,250,300,290,,100,250,50,250,180,
lord_1_63_1,{=aom_lord_1_63_1_name}Valaria,32,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_cavalry_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_63_2,{=aom_lord_1_63_2_name}Comatasa,12,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_diplomat_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_63_3,{=aom_lord_1_63_3_name}Elidilea,9,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_healer_scholar_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_64,{=aom_lord_1_64_name}Thormund Grizzlyhew,27,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_swordsman_skills_rookie,Lord,true,,,135,235,115,100,60,125,55,220,90,145,175,,135,60,85,125,95,
lord_1_66,{=aom_lord_1_66_name}Talric Crowcall,33,earnest,Ranged,true,,Culture.empire,SkillSet.spc_phalanx_skills,Lord,true,,,120,110,100,230,80,130,50,210,85,150,170,,135,60,85,125,95,
lord_1_67,{=aom_lord_1_67_name}Eorwyn Featherbolt,43,ironic,HorseArcher,true,,Culture.empire,SkillSet.spc_quartermaster_skills,Lord,true,,,110,90,100,230,70,120,220,180,80,165,170,,135,60,85,125,95,
lord_1_68,{=aom_lord_1_68_name}Tharos,33,curt,Infantry,true,,Culture.empire,SkillSet.spc_politician_skills,Lord,true,,,240,230,260,200,150,180,250,290,250,300,290,,100,280,50,250,180,
lord_1_68_1,{=aom_lord_1_68_1_name}Silvina,23,curt,Cavalry,true,true,Culture.empire,SkillSet.spc_matriarch_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_69,{=aom_lord_1_69_name}Niphon,33,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_cavalry_skills,Lord,true,,,240,230,260,200,150,180,250,290,250,300,290,,100,280,50,250,180,
lord_1_69_1,{=aom_lord_1_69_1_name}Areliana,28,earnest,Infantry,true,true,Culture.empire,SkillSet.spc_politician_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_69_2,{=aom_lord_1_69_2_name}Dorathila,7,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_7,"{=aom_lord_1_7_name}Denethor II, Steward of Gondor",43,ironic,Cavalry,true,,Culture.empire,SkillSet.spc_quartermaster_skills_ruler,Lord,true,,,150,120,100,100,100,80,150,100,80,100,250,280,200,250,150,350,100,150
lord_1_70,{=aom_lord_1_70_name}Veyra the Shadow,34,earnest,Cavalry,true,true,Culture.empire,SkillSet.spc_artisan_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_71,"{=aom_lord_1_71_name}Golasgil, Lord of Anfalas",32,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_diplomat_skills,Lord,true,,,220,200,210,150,100,120,150,180,50,150,200,,180,230,100,200,80,
lord_1_72,{=aom_lord_1_72_name}Bolg,33,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_peltast_skills,Lord,true,,,280,280,280,250,150,180,250,300,250,300,290,,100,280,50,250,180,
lord_1_72_1,{=aom_lord_1_72_1_name}Viviana,31,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_matriarch_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_73,{=aom_lord_1_73_name}Ovagos,32,softspoken,Cavalry,true,,Culture.empire,SkillSet.spc_trader_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
