piece_id,weapon_id,culture,template,points,modifier,is_hero,is_polearm,old_swing_factor,new_swing_factor,old_thrust_factor,new_thrust_factor,changed
wm_dol_goldur_2h_mace_a04_blade,wm_dol_goldur_2h_mace_a04,dolguldur,TwoHandedMace,-3,0.715,False,False,3.85,2.75,,,True
dunland_caerdh_axe_blade_1h_a,dunland_caerdh_axe_1h_a,dunland,OneHandedAxe,-2,0.944,False,False,4.37,4.13,,,True
dunland_caerdh_axe_blade_1h_b,dunland_caerdh_axe_1h_b,dunland,OneHandedAxe,-2,0.944,False,False,4.14,3.91,,,True
dunland_caerdh_axe_blade_2h_a,dunland_caerdh_axe_2h_a,dunland,TwoHandedAxe,-2,0.944,False,False,4.02,3.79,,,True
dunland_caerdh_axe_blade_2h_b,dunland_caerdh_axe_2h_b,dunland,TwoHandedAxe,-2,0.944,False,False,4.02,3.79,,,True
dunland_caerdh_spear_head_a,dunland_caerdh_short_spear_a,dunland,TwoHandedPolearm,-2,0.944,False,True,,,3.22,3.04,True
dunland_caerdh_spear_head_b,dunland_caerdh_short_spear_b,dunland,TwoHandedPolearm,-2,0.944,False,True,,,3.22,3.04,True
dunland_caerdh_spear_head_c,dunland_caerdh_short_spear_c,dunland,TwoHandedPolearm,-2,0.944,False,True,,,3.22,3.04,True
dunland_caerdh_spear_head_d,dunland_caerdh_short_spear_d,dunland,TwoHandedPolearm,-2,0.944,False,True,,,3.22,3.04,True
dunland_caerdh_spear_head_e,dunland_caerdh_short_spear_e,dunland,TwoHandedPolearm,-2,0.944,False,True,,,3.22,3.04,True
dunland_caerdh_sword_blade_2h_a,dunland_caerdh_sword_2h_a,dunland,TwoHandedSword,-2,0.944,False,False,4.02,3.79,4.02,3.79,True
sm_dwarf_dain_axe_blade_a,sm_dwarf_dain_axe_a,erebor,TwoHandedAxe,5,0.949,False,False,2.48,2.35,,,True
sm_dwarf_dain_hammer_blade_a,sm_dwarf_dain_hammer_a,erebor,TwoHandedMace,5,0.949,False,False,3.04,2.88,,,True
sm_dwarf_erebor_axe_blade_1h_a,sm_dwarf_erebor_1h_axe_a,erebor,OneHandedAxe,5,0.949,False,False,2.4,2.28,,,True
sm_dwarf_erebor_axe_blade_1h_b,sm_dwarf_erebor_1h_axe_b,erebor,OneHandedAxe,5,0.949,False,False,2.56,2.43,,,True
sm_dwarf_erebor_axe_blade_2h_a,sm_dwarf_erebor_1h_axe_c,erebor,OneHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_axe_blade_2h_a2,sm_dwarf_erebor_1h_axe_a2,erebor,OneHandedAxe,5,0.949,False,False,2.72,2.58,,,True
sm_dwarf_erebor_axe_blade_2h_b,sm_dwarf_erebor_1h_axe_d,erebor,OneHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_axe_blade_2h_b2,sm_dwarf_erebor_1h_axe_b2,erebor,OneHandedAxe,5,0.949,False,False,3.12,2.96,,,True
sm_dwarf_erebor_axe_blade_2h_c,sm_dwarf_erebor_1h_axe_e,erebor,OneHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_axe_blade_2h_c2,sm_dwarf_erebor_axe_2h_c2,erebor,TwoHandedAxe,5,0.949,False,False,3.12,2.96,,,True
sm_dwarf_erebor_axe_blade_2h_d,sm_dwarf_erebor_axe_2h_d,erebor,TwoHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_axe_blade_2h_d2,sm_dwarf_erebor_axe_2h_d2,erebor,TwoHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_hammer_blade_2h_a,sm_dwarf_erebor_mace_a,erebor,TwoHandedMace,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_hammer_blade_2h_a2,sm_dwarf_erebor_mace_b,erebor,TwoHandedMace,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_erebor_spear_blade_a,sm_dwarf_erebor_spear_a,erebor,TwoHandedPolearm,5,0.949,False,True,0.8,0.76,1.68,1.59,True
sm_dwarf_erebor_spear_blade_b,sm_dwarf_erebor_spear_b,erebor,TwoHandedPolearm,5,0.949,False,True,0.8,0.76,1.84,1.75,True
sm_dwarf_iron_axe_blade_a,sm_dwarf_iron_axe_a,erebor,TwoHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_iron_axe_blade_b,sm_dwarf_iron_axe_c,erebor,TwoHandedAxe,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_iron_hammer_blade_a,sm_dwarf_iron_hammer_a,erebor,TwoHandedMace,5,0.949,False,False,2.8,2.66,,,True
sm_dwarf_iron_hammer_blade_b,sm_dwarf_iron_hammer_b,erebor,TwoHandedMace,5,0.949,False,False,2.88,2.73,,,True
sm_dwarf_iron_hammer_blade_c,sm_dwarf_iron_hammer_c,erebor,TwoHandedMace,5,0.949,False,False,2.88,2.73,,,True
sm_dwarf_iron_hammer_blade_d,sm_dwarf_iron_hammer_d,erebor,TwoHandedMace,5,0.949,False,False,3.04,2.88,,,True
sm_dwarf_iron_hammer_blade_e,sm_dwarf_iron_hammer_e,erebor,TwoHandedMace,5,0.949,False,False,2.88,2.73,,,True
sm_dwarf_iron_mattock_blade_a,sm_dwarf_iron_mattock_a,erebor,TwoHandedMace,5,0.949,False,False,3.68,3.49,,,True
sm_dwarf_iron_mattock_blade_b,sm_dwarf_iron_mattock_b,erebor,TwoHandedMace,5,0.949,False,False,2.88,2.73,,,True
sm_dwarf_iron_mattock_blade_c,sm_dwarf_iron_mattock_c,erebor,TwoHandedMace,5,0.949,False,False,2.88,2.73,,,True
sm_dwarf_iron_mattock_blade_d,sm_dwarf_iron_mattock_d,erebor,TwoHandedMace,5,0.949,False,False,2.88,2.73,,,True
sm_dwarf_iron_sword_blade_a,sm_dwarf_iron_sword_a,erebor,OneHandedSword,5,0.949,False,False,3.6,3.42,3.6,3.42,True
sm_dwarf_iron_sword_blade_b,(unused piece),erebor,,5,0.949,False,False,3.68,3.49,3.6,3.42,True
gond_spr2_bld,gond_spear2,gondor,TwoHandedPolearm,3,1.093,False,True,,,1.8,1.97,True
numenorean_sword_blade_a,wm_gondor_lamedon_2h_sword_b,gondor,TwoHandedSword,3,1.093,False,False,3.5,3.83,3.5,3.83,True
numenorean_sword_blade_b,wm_gondor_lamedon_2h_sword_c,gondor,TwoHandedSword,3,1.093,False,False,3.5,3.83,3.0,3.28,True
numenorean_sword_blade_c,numenorean_sword_2h_c,gondor,TwoHandedSword,3,1.093,False,False,3.5,3.83,3.0,3.28,True
numenorean_sword_blade_d,wm_gondor_lamedon_2h_sword_d,gondor,TwoHandedSword,3,1.093,False,False,3.5,3.83,3.0,3.28,True
numenorean_sword_blade_e,wm_gondor_lamedon_2h_sword_e,gondor,TwoHandedSword,3,1.093,False,False,3.5,3.83,4.0,4.37,True
wm_anduril_sword_blade,anduril,gondor,TwoHandedSword,3,1.0,True,False,5.2,5.2,3.5,3.5,False
wm_boromir_sword_blade,wm_gondor_boromir_sword,gondor,OneHandedSword,3,1.0,True,False,4.5,4.5,3.5,3.5,False
wm_faramir_sword_blade,wm_gondor_faramir_sword,gondor,OneHandedSword,3,1.0,True,False,4.5,4.5,3.5,3.5,False
wm_glamdring_blade,glamdring_sword,gondor,OneHandedSword,3,1.0,True,False,4.5,4.5,4.0,4.0,False
wm_gondor_spear_a_blade,wm_gondor_spear_a,gondor,TwoHandedPolearm,3,1.093,False,True,,,1.8,1.97,True
wm_gondor_spear_b_blade,wm_gondor_spear_b,gondor,TwoHandedPolearm,3,1.093,False,True,,,1.9,2.08,True
wm_gondor_spear_blade,wm_gondor_spear,gondor,TwoHandedPolearm,3,1.093,False,True,,,1.8,1.97,True
wm_gondor_sword_a01_blade,wm_gondor_sword_a01,gondor,OneHandedSword,3,1.093,False,False,4.5,4.92,3.5,3.83,True
wm_gondor_sword_a02_blade,wm_gondor_sword_a02,gondor,OneHandedSword,3,1.093,False,False,4.4,4.81,3.5,3.83,True
wm_gondor_sword_a03_blade,wm_gondor_sword_a03,gondor,OneHandedSword,3,1.093,False,False,4.5,4.92,3.5,3.83,True
wm_gondor_sword_a04_blade,wm_gondor_sword_a04,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.5,3.83,True
wm_gondor_sword_a05_blade,wm_gondor_sword_a05,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.5,3.83,True
wm_gondor_sword_a06_blade,wm_gondor_sword_a06,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.5,3.83,True
wm_gondor_sword_a07_blade,wm_gondor_sword_a07,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.5,3.83,True
wm_gondor_sword_a08_blade,wm_gondor_sword_a08,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.5,3.83,True
wm_gondor_sword_a09_blade,wm_gondor_sword_a09,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.5,3.83,True
wm_gondor_sword_a10_blade,wm_gondor_sword_a10,gondor,OneHandedSword,3,1.093,False,False,4.4,4.81,3.5,3.83,True
wm_lamedon_1h_sword_a_blade,wm_gondor_lamedon_1h_sword_a,gondor,OneHandedSword,3,1.093,False,False,2.4,2.62,2.4,2.62,True
wm_lamedon_2h_sword_a_blade,wm_gondor_lamedon_2h_sword_a,gondor,TwoHandedSword,3,1.093,False,False,3.8,4.15,3.3,3.61,True
wm_lossarnach_1h_axe__blade,wm_gondor_lossarnach_1h_axe_a,gondor,OneHandedAxe,3,1.093,False,False,3.3,3.61,,,True
wm_lossarnach_2h_axe_blade,wm_gondor_lossarnach_2h_axe_a,gondor,TwoHandedAxe,3,1.093,False,False,3.6,3.93,,,True
wm_pelagir_spear_blade,(unused piece),gondor,,3,1.093,False,False,,,1.9,2.08,True
wm_pelagir_sword_a01_blade,wm_pelargir_sword_a01,gondor,OneHandedSword,3,1.093,False,False,4.0,4.37,3.3,3.61,True
wm_pelagir_sword_a02_blade,wm_pelargir_sword_a02,gondor,OneHandedSword,3,1.093,False,False,4.1,4.48,3.3,3.61,True
wm_strider_sword_blade,strider_sword,gondor,TwoHandedSword,3,1.0,True,False,4.8,4.8,2.5,2.5,False
wm_swan_knight_spear_blade,wm_gondor_swanknight_spearb,gondor,TwoHandedPolearm,3,1.093,False,True,,,2.0,2.19,True
wm_swan_knight_sword_a_blade,wm_swan_knight_sworda,gondor,OneHandedSword,3,1.093,False,False,3.5,3.83,3.5,3.83,True
wm_swan_knight_sword_b_blade,wm_swan_knight_swordb,gondor,OneHandedSword,3,1.093,False,False,3.8,4.15,3.5,3.83,True
wm_gundabad_axe_a01_blade,wm_gundabad_axe_a01,gundabad,OneHandedAxe,-1,1.001,False,False,3.89,3.89,,,False
wm_gundabad_axe_a02_blade,wm_gundabad_axe_a02,gundabad,OneHandedAxe,-1,1.001,False,False,4.3,4.3,,,False
wm_gundabad_axe_a03_blade,wm_gundabad_axe_a03,gundabad,OneHandedAxe,-1,1.001,False,False,6.09,6.1,,,True
wm_gundabad_javelin_a01_blade,wm_gundabad_javelin_a01,gundabad,Javelin,-1,1.001,False,True,,,2.62,2.62,False
wm_gundabad_javelin_a02_blade,wm_gundabad_javelin_a02,gundabad,Javelin,-1,1.001,False,True,,,2.84,2.84,False
wm_gundabad_mace_a01_blade,wm_gundabad_mace_a01,gundabad,Mace,-1,1.001,False,False,5.78,5.79,,,True
wm_gundabad_mace_a02_blade,wm_gundabad_mace_a02,gundabad,Mace,-1,1.001,False,False,5.78,5.79,,,True
wm_gundabad_spear_a01_blade,wm_gundabad_spear_a01,gundabad,TwoHandedPolearm,-1,1.001,False,True,3.15,3.15,4.2,4.2,False
wm_gundabad_spear_a02_blade,wm_gundabad_spear_a02,gundabad,TwoHandedPolearm,-1,1.001,False,True,5.78,5.79,3.36,3.36,True
wm_gundabad_spear_a03_blade,wm_gundabad_spear_a03,gundabad,TwoHandedPolearm,-1,1.001,False,True,4.2,4.2,4.3,4.3,False
wm_gundabad_sword_a01_blade,wm_gundabad_sword_a01,gundabad,OneHandedSword,-1,1.001,False,False,2.94,2.94,1.05,1.05,False
wm_gundabad_sword_a02_blade,wm_gundabad_sword_a02,gundabad,OneHandedSword,-1,1.001,False,False,3.78,3.78,1.05,1.05,False
wm_gundabad_sword_a03_blade,wm_gundabad_sword_a03,gundabad,OneHandedSword,-1,1.001,False,False,3.68,3.68,1.05,1.05,False
wm_gundabad_sword_a04_blade,wm_gundabad_sword_a04,gundabad,OneHandedSword,-1,1.001,False,False,3.68,3.68,1.05,1.05,False
easterling_spear_blade,easterling_spear,harad,TwoHandedPolearm,0,1.098,False,True,2.86,3.14,3.08,3.38,True
easterling_sword_blade,easterling_sword,harad,TwoHandedSword,0,1.098,False,False,2.31,2.54,2.42,2.66,True
wm_harad_glaive_a01_blade,wm_harad_glaive_a01,harad,TwoHandedPolearm,0,1.098,False,True,4.4,4.83,4.95,5.44,True
wm_harad_spear_a01_head,wm_harad_spear_a01,harad,TwoHandedPolearm,0,1.098,False,True,2.2,2.42,2.75,3.02,True
wm_harad_spear_a02_head,wm_harad_spear_a02,harad,TwoHandedPolearm,0,1.098,False,True,2.2,2.42,2.75,3.02,True
wm_harad_spear_b01_head,wm_harad_spear_b01,harad,TwoHandedPolearm,0,1.098,False,True,2.2,2.42,2.75,3.02,True
wm_harad_spear_b02_head,wm_harad_spear_b02,harad,TwoHandedPolearm,0,1.098,False,True,2.2,2.42,2.75,3.02,True
wm_harad_sword_a01_blade,wm_harad_sword_a01,harad,OneHandedSword,0,1.098,False,False,4.84,5.31,3.85,4.23,True
wm_harad_sword_a02_blade,wm_harad_sword_a02,harad,OneHandedSword,0,1.098,False,False,4.84,5.31,3.85,4.23,True
wm_isengard_1h_pike_a01_blade,isengard_pike_a,isengard,Pike,0,1.116,False,True,2.62,2.92,3.68,4.11,True
wm_isengard_1h_pike_b01_blade,isengard_pike_b,isengard,Pike,0,1.116,False,True,1.05,1.17,3.68,4.11,True
wm_isengard_1h_spear_a01_blade,isengard_spear_a,isengard,TwoHandedPolearm,0,1.116,False,True,1.05,1.17,3.68,4.11,True
wm_isengard_1h_spear_b01_blade,isengard_spear_b,isengard,TwoHandedPolearm,0,1.116,False,True,1.05,1.17,3.78,4.22,True
wm_isengard_1h_sword_a01_blade,isengard_1h_sword_a,isengard,OneHandedSword,0,1.116,False,False,3.68,4.11,1.26,1.41,True
wm_isengard_1h_sword_a02_blade,isengard_1h_sword_b,isengard,OneHandedSword,0,1.116,False,False,3.99,4.45,1.68,1.87,True
wm_isengard_2h_axe_a01_blade,isengard_2h_axe_a,isengard,TwoHandedAxe,0,1.116,False,False,3.68,4.11,,,True
wm_isengard_2h_axe_b01_blade,isengard_2h_axe_b,isengard,TwoHandedAxe,0,1.116,False,False,3.68,4.11,,,True
wm_isengard_2h_axe_c01_blade,isengard_2h_axe_c,isengard,TwoHandedAxe,0,1.116,False,False,3.68,4.11,,,True
wm_isengard_berserker_sword_a01_blade,isengard_berserker_sword,isengard,OneHandedSword,0,1.116,False,False,3.68,4.11,1.58,1.76,True
wm_aranruth_sword_blade,wm_aranruth_sword,lothlorien,OneHandedSword,9,1.0,True,False,4.5,4.5,3.0,3.0,False
wm_aranruth_sword_ruby_blade,wm_aranruth_sword_ruby,lothlorien,OneHandedSword,9,1.0,True,False,4.6,4.6,3.0,3.0,False
wm_aranruth_sword_topaz_blade,wm_aranruth_sword_topaz,lothlorien,OneHandedSword,9,1.0,True,False,4.5,4.5,3.0,3.0,False
wm_galadriel_sword_blade,wm_galadriel_sword,lothlorien,OneHandedSword,9,1.0,True,False,4.5,4.5,4.8,4.8,False
wm_legolas_sword_blade,wm_legolas_sword,mirkwood,OneHandedSword,4,1.0,True,False,3.8,3.8,5.0,5.0,False
wm_mirkwood_glaive_a01_blade,mirkwood_glaive_a01,mirkwood,TwoHandedPolearm,4,1.092,False,True,2.8,3.06,2.0,2.18,True
wm_mirkwood_spear_a01_blade,mirkwood_spear_a01,mirkwood,TwoHandedPolearm,4,1.092,False,True,4.0,4.37,3.6,3.93,True
wm_mirkwood_spear_a02_blade,mirkwood_spear_a02,mirkwood,TwoHandedPolearm,4,1.092,False,True,4.0,4.37,3.6,3.93,True
wm_mirkwood_sword_a01_blade,mirkwood_sword_a01,mirkwood,OneHandedSword,4,1.092,False,False,3.52,3.84,2.56,2.8,True
wm_thranduil_sword_blade,wm_thranduil_sword,mirkwood,OneHandedSword,4,1.0,True,False,3.8,3.8,3.5,3.5,False
sm_uruk_halberd_blade_a1,sm_uruk_halberd_a,mordor,TwoHandedPolearm,-2,0.847,False,True,4.73,4.01,2.62,2.22,True
sm_uruk_halberd_blade_a2,sm_uruk_halberd_b,mordor,TwoHandedPolearm,-2,0.847,False,True,4.73,4.01,2.62,2.22,True
sm_uruk_halberd_blade_a3,sm_uruk_halberd_c,mordor,TwoHandedPolearm,-2,0.847,False,True,4.73,4.01,2.62,2.22,True
sm_uruk_sword_blade_a1,sm_uruk_sword_a,mordor,OneHandedSword,-2,0.847,False,False,4.2,3.56,2.1,1.78,True
sm_uruk_sword_blade_a2,sm_uruk_sword_b,mordor,OneHandedSword,-2,0.847,False,False,4.3,3.64,2.62,2.22,True
sm_uruk_sword_blade_a3,sm_uruk_sword_c,mordor,OneHandedSword,-2,0.847,False,False,4.41,3.74,3.68,3.12,True
wm_cave_troll_1h_mace_a01_head,wm_cave_troll_1h_mace_a,mordor,Mace,-2,0.847,False,False,6.3,5.34,,,True
wm_cave_troll_1h_mace_a02_head,wm_cave_troll_1h_mace_b,mordor,Mace,-2,0.847,False,False,6.3,5.34,,,True
wm_cave_troll_1h_mace_a03_head,wm_cave_troll_1h_mace_c,mordor,Mace,-2,0.847,False,False,8.4,7.11,,,True
wm_cave_troll_2h_mace_head,wm_cave_troll_2h_mace_a,mordor,TwoHandedMace,-2,0.847,False,False,6.3,5.34,,,True
wm_cave_troll_spear_a01_blade,wm_cave_troll_spear_a,mordor,TwoHandedPolearm,-2,0.847,False,True,6.3,5.34,6.3,5.34,True
wm_gundabad_mace_b01_blade,wm_gundabad_mace_b01,mordor,TwoHandedMace,-2,0.847,False,False,4.73,4.01,,,True
wm_gundabad_mace_b02_blade,wm_gundabad_mace_b02,mordor,TwoHandedMace,-2,0.847,False,False,4.73,4.01,,,True
wm_mordor_set1_axe_a01_blade,wm_mordor_set1_axe_a01,mordor,OneHandedAxe,-2,0.847,False,False,3.68,3.12,,,True
wm_mordor_set1_axe_a02_blade,wm_mordor_set1_axe_a02,mordor,OneHandedAxe,-2,0.847,False,False,3.68,3.12,,,True
wm_mordor_set1_mace_a01_blade,wm_mordor_set1_mace_a01,mordor,Mace,-2,0.847,False,False,4.2,3.56,,,True
wm_mordor_set1_mace_a02_blade,wm_mordor_set1_mace_a02,mordor,Mace,-2,0.847,False,False,4.2,3.56,,,True
wm_mordor_set1_polearm_a01_blade,wm_mordor_set1_polearm_a01,mordor,TwoHandedPolearm,-2,0.847,False,True,3.68,3.12,0.0,0.0,True
wm_mordor_set1_polearm_a02_blade,wm_mordor_set1_polearm_a02,mordor,TwoHandedPolearm,-2,0.847,False,True,2.94,2.49,3.68,3.12,True
wm_mordor_set1_polearm_a03_blade,wm_mordor_set1_polearm_a03,mordor,TwoHandedPolearm,-2,0.847,False,True,2.42,2.05,2.42,2.05,True
wm_mordor_set1_polearm_a04_blade,wm_mordor_set1_polearm_a04,mordor,TwoHandedPolearm,-2,0.847,False,True,2.52,2.13,2.52,2.13,True
wm_mordor_set1_sword_a01_blade,wm_mordor_set1_sword_a01,mordor,OneHandedSword,-2,0.847,False,False,3.15,2.67,2.1,1.78,True
wm_mordor_set1_sword_a02_blade,wm_mordor_set1_sword_a02,mordor,OneHandedSword,-2,0.847,False,False,3.36,2.85,2.31,1.96,True
wm_nazgul_sword_blade,nazgul_sword,mordor,TwoHandedSword,-2,1.0,True,False,3.0,3.0,3.1,3.1,False
wm_sauron_mace_blade,wm_sauron_mace,mordor,Mace,-2,1.0,True,False,10.0,10.0,,,False
wm_witch_king_sword_blade,witchking_sword,mordor,TwoHandedSword,-2,1.0,True,False,3.5,3.5,3.5,3.5,False
wm_tuors_axe_blade,wm_tuors_axe_1h,neutral,OneHandedAxe,,1.0,True,False,4.5,4.5,,,False
sm_dg_khml_axe_blade_1h_a,sm_dg_khml_1h_axe_a,rhun,OneHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_dg_khml_axe_blade_1h_b,sm_dg_khml_1h_axe_b,rhun,OneHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_dg_khml_axe_blade_2h_a,sm_dg_khml_2h_axe_a,rhun,TwoHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_dg_khml_axe_blade_2h_b,sm_dg_khml_2h_axe_b,rhun,TwoHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_dg_khml_axe_blade_2h_c,(unused piece),rhun,,2,1.046,False,False,3.68,3.85,,,True
sm_dg_khml_axe_blade_2h_d,(unused piece),rhun,,2,1.046,False,False,3.68,3.85,,,True
sm_dg_khml_mace_blade_1h_a,sm_dg_khml_1h_mace_a,rhun,Mace,2,1.046,False,False,4.2,4.39,,,True
sm_dg_khml_mace_blade_1h_b,sm_dg_khml_1h_mace_b,rhun,Mace,2,1.046,False,False,4.2,4.39,,,True
sm_dg_khml_mace_blade_1h_c,(unused piece),rhun,,2,1.046,False,False,4.2,4.39,,,True
sm_dg_khml_mace_blade_2h_a,sm_dg_khml_2h_mace_a,rhun,TwoHandedMace,2,1.046,False,False,4.2,4.39,,,True
sm_dg_khml_mace_blade_2h_b,sm_dg_khml_2h_mace_b,rhun,TwoHandedMace,2,1.046,False,False,4.2,4.39,,,True
sm_dg_khml_mace_blade_2h_c,(unused piece),rhun,,2,1.046,False,False,4.2,4.39,,,True
sm_dg_khml_spear_blade_a,sm_dg_khml_spear_a,rhun,TwoHandedPolearm,2,1.046,False,True,2.73,2.86,2.94,3.08,True
sm_dg_khml_sword_blade_a,sm_dg_khml_1h_sword_a,rhun,OneHandedSword,2,1.046,False,False,2.21,2.31,2.31,2.42,True
sm_dg_khml_sword_blade_b,sm_dg_khml_1h_sword_b,rhun,OneHandedSword,2,1.046,False,False,2.21,2.31,2.31,2.42,True
sm_rh_drag_axe_blade_1h_a,sm_rh_drag_1h_axe_a,rhun,OneHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_drag_axe_blade_1h_b,sm_rh_drag_1h_axe_b,rhun,OneHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_drag_axe_blade_2h_a,sm_rh_drag_2h_axe_a,rhun,TwoHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_drag_axe_blade_2h_b,sm_rh_drag_2h_axe_b,rhun,TwoHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_drag_axe_blade_2h_c,(unused piece),rhun,,2,1.046,False,False,3.68,3.85,,,True
sm_rh_drag_axe_blade_2h_d,(unused piece),rhun,,2,1.046,False,False,3.68,3.85,,,True
sm_rh_drag_mace_blade_1h_a,sm_rh_drag_1h_mace_a,rhun,Mace,2,1.046,False,False,4.2,4.39,,,True
sm_rh_drag_mace_blade_1h_b,sm_rh_drag_1h_mace_b,rhun,Mace,2,1.046,False,False,4.2,4.39,,,True
sm_rh_drag_mace_blade_1h_c,(unused piece),rhun,,2,1.046,False,False,4.2,4.39,,,True
sm_rh_drag_mace_blade_2h_a,sm_rh_drag_2h_mace_a,rhun,TwoHandedMace,2,1.046,False,False,4.2,4.39,,,True
sm_rh_drag_mace_blade_2h_b,sm_rh_drag_2h_mace_b,rhun,TwoHandedMace,2,1.046,False,False,4.2,4.39,,,True
sm_rh_drag_mace_blade_2h_c,(unused piece),rhun,,2,1.046,False,False,4.2,4.39,,,True
sm_rh_drag_spear_blade_a,sm_rh_drag_spear_a,rhun,TwoHandedPolearm,2,1.046,False,True,2.73,2.86,2.94,3.08,True
sm_rh_drag_sword_blade_a,sm_rh_drag_1h_sword_a,rhun,OneHandedSword,2,1.046,False,False,2.21,2.31,2.31,2.42,True
sm_rh_drag_sword_blade_b,sm_rh_drag_1h_sword_b,rhun,OneHandedSword,2,1.046,False,False,2.21,2.31,2.31,2.42,True
sm_rh_loke_axe_blade_1h_a,sm_rh_loke_1h_axe_a,rhun,OneHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_loke_axe_blade_1h_b,sm_rh_loke_1h_axe_b,rhun,OneHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_loke_axe_blade_2h_a,sm_rh_loke_2h_axe_a,rhun,TwoHandedAxe,2,1.046,False,False,3.68,3.85,,,True
sm_rh_loke_axe_blade_2h_b,sm_rh_loke_2h_axe_b,rhun,TwoHandedAxe,2,1.046,False,False,3.68,3.85,,,True
