File,ID,Name,Culture,Slot,Tier,Variant,Old Primary,New Primary,Delta,Old Weight,New Weight,Old Material,New Material,Status
arnor\head_armors.xml,sk_ar_art_helmet_noble_prince_a,[Arnor] Prince's Helmet,arnor,head,heavy,0,45,34,-11,6.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_prince_b,[Arnor] Prince's Helmet,arnor,head,heavy,1,45,35,-10,6.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_crown_king_a,[Arnor] King's Crown,arnor,head,lord,0,20,50,30,2.0,5.0,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_cav_heavy_a,[Arnor] Cavalry Heavy Helmet,arnor,head,heavy,0,32,34,2,4.5,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_cav_heavy_b,[Arnor] Cavalry Heavy Helmet,arnor,head,heavy,1,32,35,3,4.5,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_cav_elite_a,[Arnor] Cavalry Elite Helmet,arnor,head,elite,0,38,42,4,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_cav_elite_b,[Arnor] Cavalry Elite Helmet,arnor,head,elite,1,38,43,5,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_guard_heavy_a,[Arnor] Guard Heavy Helmet,arnor,head,heavy,0,35,34,-1,5.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_guard_heavy_b,[Arnor] Guard Heavy Helmet,arnor,head,heavy,1,35,35,0,5.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_guard_elite_a,[Arnor] Guard Elite Helmet,arnor,head,elite,0,42,42,0,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_guard_elite_b,[Arnor] Guard Elite Helmet,arnor,head,elite,1,42,43,1,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_warden_heavy_a,[Arnor] Warden Heavy Helmet,arnor,head,heavy,0,33,34,1,5.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_warden_heavy_b,[Arnor] Warden Heavy Helmet,arnor,head,heavy,1,33,35,2,5.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_warden_elite_a,[Arnor] Warden Elite Helmet,arnor,head,elite,0,40,42,2,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_warden_elite_b,[Arnor] Warden Elite Helmet,arnor,head,elite,1,40,43,3,5.5,4.5,Plate,Plate,CHANGED
arnor\body_armors.xml,sk_ar_art_chainmail_half_a,[Arnor] Half Chainmail,arnor,body,medium,0,20,34,14,8.0,13.0,Chainmail,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chainmail_half_b,[Arnor] Half Chainmail,arnor,body,medium,1,20,35,15,8.0,13.0,Chainmail,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chainmail_full_a,[Arnor] Full Chainmail,arnor,body,medium,0,28,34,6,11.0,13.0,Chainmail,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chainmail_full_b,[Arnor] Full Chainmail,arnor,body,medium,1,28,35,7,11.0,13.0,Chainmail,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_inf_med_a,[Arnor] Infantry Armour,arnor,body,medium,0,35,34,-1,13.0,13.0,Plate,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_inf_med_b,[Arnor] Infantry Armour,arnor,body,medium,1,35,35,0,13.0,13.0,Plate,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_inf_heavy_a,[Arnor] Infantry Heavy Armour,arnor,body,heavy,0,42,44,2,16.0,18.0,Plate,Plate,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_inf_heavy_b,[Arnor] Infantry Heavy Armour,arnor,body,heavy,1,42,45,3,16.0,18.0,Plate,Plate,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_noble_med_a,[Arnor] Noble Armour,arnor,body,medium,0,40,34,-6,14.0,13.0,Plate,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_noble_med_b,[Arnor] Noble Armour,arnor,body,medium,1,40,35,-5,14.0,13.0,Plate,Chainmail,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_noble_heavy_a,[Arnor] Noble Heavy Armour,arnor,body,heavy,0,48,44,-4,17.5,18.0,Plate,Plate,CHANGED
arnor\body_armors.xml,sk_ar_art_chest_noble_heavy_b,[Arnor] Noble Heavy Armour,arnor,body,heavy,1,48,45,-3,17.5,18.0,Plate,Plate,CHANGED
arnor\arm_armors.xml,sk_ar_art_gloves_a,[Arnor] Leather Gloves,arnor,arm,light,0,10,10,0,0.6,0.6,Leather,Leather,UNCHANGED
arnor\arm_armors.xml,sk_ar_art_bracer_inf_med_a,[Arnor] Infantry Bracers,arnor,arm,medium,0,15,16,1,1.0,1.0,Plate,Chainmail,CHANGED
arnor\arm_armors.xml,sk_ar_art_bracer_noble_med_a,[Arnor] Noble Bracers,arnor,arm,medium,0,20,16,-4,1.5,1.0,Plate,Chainmail,CHANGED
arnor\arm_armors.xml,sk_ar_art_bracer_noble_heavy_a,[Arnor] Noble Heavy Bracers,arnor,arm,heavy,0,25,22,-3,1.5,1.5,Plate,Plate,CHANGED
arnor\arm_armors.xml,sk_ar_art_bracer_noble_elite_a,[Arnor] Noble Elite Bracers,arnor,arm,elite,0,30,28,-2,2.0,2.0,Plate,Plate,CHANGED
arnor\leg_armors.xml,sk_ar_art_boots_a,[Arnor] Leather Boots,arnor,leg,light,0,10,14,4,1.6,1.5,Leather,Leather,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_inf_light_a,[Arnor] Infantry Light Greaves,arnor,leg,light,0,15,14,-1,2.0,1.5,Leather,Leather,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_inf_med_a,[Arnor] Infantry Greaves,arnor,leg,medium,0,20,22,2,2.6,2.5,Plate,Chainmail,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_inf_heavy_a,[Arnor] Infantry Heavy Greaves,arnor,leg,heavy,0,26,30,4,3.6,3.5,Plate,Plate,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_noble_light_a,[Arnor] Noble Light Greaves,arnor,leg,light,0,18,14,-4,2.0,1.5,Leather,Leather,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_noble_med_a,[Arnor] Noble Greaves,arnor,leg,medium,0,24,22,-2,3.0,2.5,Plate,Chainmail,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_noble_heavy_a,[Arnor] Noble Heavy Greaves,arnor,leg,heavy,0,30,30,0,3.6,3.5,Plate,Plate,CHANGED
arnor\leg_armors.xml,sk_ar_art_grvs_noble_elite_a,[Arnor] Noble Elite Greaves,arnor,leg,elite,0,36,36,0,4.0,4.0,Plate,Plate,UNCHANGED
arnor\shoulder_armors.xml,sk_ar_art_cape_a,[Arnor] Cape,arnor,shoulder,civilian,0,5,4,-1,0.5,1.0,Cloth,Cloth,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_cape_b,[Arnor] Cape,arnor,shoulder,civilian,1,5,5,0,0.5,1.0,Cloth,Cloth,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_light_a,[Arnor] Infantry Light Pauldrons,arnor,shoulder,light,0,8,7,-1,3.0,3.0,Leather,Leather,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_light_b,[Arnor] Infantry Light Pauldrons,arnor,shoulder,light,1,8,8,0,3.0,3.0,Leather,Leather,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_med_a,[Arnor] Infantry Pauldrons,arnor,shoulder,medium,0,10,10,0,5.0,5.0,Plate,Chainmail,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_med_b,[Arnor] Infantry Pauldrons,arnor,shoulder,medium,1,10,11,1,5.0,5.0,Plate,Chainmail,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_heavy_a,[Arnor] Infantry Heavy Pauldrons,arnor,shoulder,heavy,0,12,14,2,7.0,7.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_elite_a,[Arnor] Infantry Elite Pauldrons,arnor,shoulder,elite,0,14,17,3,9.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_inf_elite_b,[Arnor] Infantry Elite Pauldrons,arnor,shoulder,elite,1,14,18,4,9.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_cape_inf_elite_a,[Arnor] Infantry Elite Pauldrons with Cape,arnor,shoulder,elite,0,16,17,1,9.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_cape_inf_elite_b,[Arnor] Infantry Elite Pauldrons with Cape,arnor,shoulder,elite,1,16,18,2,9.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_cape_inf_elite_c,[Arnor] Infantry Elite Pauldrons with Cape,arnor,shoulder,elite,2,16,19,3,9.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_med_a,[Arnor] Noble Pauldrons,arnor,shoulder,medium,0,12,10,-2,6.0,5.0,Plate,Chainmail,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_med_b,[Arnor] Noble Pauldrons,arnor,shoulder,medium,1,12,11,-1,6.0,5.0,Plate,Chainmail,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_med_c,[Arnor] Noble Pauldrons,arnor,shoulder,medium,2,12,12,0,6.0,5.0,Plate,Chainmail,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_heavy_a,[Arnor] Noble Heavy Pauldrons,arnor,shoulder,heavy,0,16,14,-2,8.0,7.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_heavy_b,[Arnor] Noble Heavy Pauldrons,arnor,shoulder,heavy,1,16,15,-1,8.0,7.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_elite_a,[Arnor] Noble Elite Pauldrons,arnor,shoulder,elite,0,20,17,-3,10.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_noble_elite_b,[Arnor] Noble Elite Pauldrons,arnor,shoulder,elite,1,20,18,-2,10.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_cape_noble_elite_a,[Arnor] Noble Elite Pauldrons with Cape,arnor,shoulder,elite,0,22,17,-5,10.0,9.0,Plate,Plate,CHANGED
arnor\shoulder_armors.xml,sk_ar_art_pauld_cape_noble_elite_b,[Arnor] Noble Elite Pauldrons with Cape,arnor,shoulder,elite,1,22,18,-4,10.0,9.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_a,[Dol Guldur] Uruk Elite Helmet I,dol_guldur,head,elite,0,30,39,9,5.5,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_b,[Dol Guldur] Uruk Elite Helmet II,dol_guldur,head,elite,1,35,40,5,5.7,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_c,[Dol Guldur] Uruk Elite Helmet III,dol_guldur,head,elite,2,35,41,6,5.9,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_d,[Dol Guldur] Uruk Elite Helmet IV,dol_guldur,head,elite,3,35,42,7,6.1,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_e,[Dol Guldur] Uruk Elite Helmet V,dol_guldur,head,elite,4,35,43,8,6.3,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_f,[Dol Guldur] Uruk Elite Helmet VI,dol_guldur,head,elite,5,35,44,9,6.5,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_elite_g,[Dol Guldur] Uruk Elite Helmet VII,dol_guldur,head,elite,0,35,39,4,6.0,5.0,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_heavy_a,[Dol Guldur] Uruk Heavy Helmet I,dol_guldur,head,heavy,0,25,31,6,4.5,3.9,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_heavy_b,[Dol Guldur] Uruk Heavy Helmet II,dol_guldur,head,heavy,1,25,32,7,4.7,3.9,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_heavy_c,[Dol Guldur] Uruk Heavy Helmet III,dol_guldur,head,heavy,2,30,33,3,4.9,3.9,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_heavy_d,[Dol Guldur] Uruk Heavy Helmet IV,dol_guldur,head,heavy,3,30,34,4,5.1,3.9,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_heavy_e,[Dol Guldur] Uruk Heavy Helmet V,dol_guldur,head,heavy,4,30,35,5,5.3,3.9,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_heavy_f,[Dol Guldur] Uruk Heavy Helmet VI,dol_guldur,head,heavy,5,30,36,6,5.5,3.9,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_light_a,[Dol Guldur] Uruk Light Helmet I,dol_guldur,head,light,0,20,14,-6,2.5,1.7,Plate,Leather,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_light_b,[Dol Guldur] Uruk Light Helmet II,dol_guldur,head,light,1,20,15,-5,2.7,1.7,Plate,Leather,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_light_c,[Dol Guldur] Uruk Light Helmet III,dol_guldur,head,light,2,20,16,-4,2.9,1.7,Plate,Leather,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_light_d,[Dol Guldur] Uruk Light Helmet IV,dol_guldur,head,light,3,20,17,-3,3.0,1.7,Plate,Leather,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_a,[Dol Guldur] Uruk Lord Helmet I,dol_guldur,head,lord,0,35,47,12,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_b,[Dol Guldur] Uruk Lord Helmet II,dol_guldur,head,lord,1,35,48,13,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_c,[Dol Guldur] Uruk Lord Helmet III,dol_guldur,head,lord,2,35,49,14,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_d,[Dol Guldur] Uruk Lord Helmet IV,dol_guldur,head,lord,3,35,50,15,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_e,[Dol Guldur] Uruk Lord Helmet V,dol_guldur,head,lord,4,35,51,16,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_f,[Dol Guldur] Uruk Lord Helmet VI,dol_guldur,head,lord,5,35,52,17,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_g,[Dol Guldur] Uruk Lord Helmet VII,dol_guldur,head,lord,0,35,47,12,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_lord_h,[Dol Guldur] Uruk Lord Helmet VIII,dol_guldur,head,lord,0,35,47,12,6.0,5.5,Plate,Plate,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_a,[Dol Guldur] Uruk Medium Helmet I,dol_guldur,head,medium,0,20,23,3,3.5,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_b,[Dol Guldur] Uruk Medium Helmet II,dol_guldur,head,medium,1,25,24,-1,3.7,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_c,[Dol Guldur] Uruk Medium Helmet III,dol_guldur,head,medium,2,25,25,0,3.9,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_d,[Dol Guldur] Uruk Medium Helmet IV,dol_guldur,head,medium,3,25,26,1,4.0,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_e,[Dol Guldur] Uruk Medium Helmet V,dol_guldur,head,medium,4,25,27,2,4.2,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_f,[Dol Guldur] Uruk Medium Helmet VI,dol_guldur,head,medium,5,25,28,3,4.3,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_g,[Dol Guldur] Uruk Medium Helmet VII,dol_guldur,head,medium,0,35,23,-12,6.0,2.8,Plate,Chainmail,CHANGED
dol_guldur\head_armors.xml,sk_dg_uruk_helmet_med_h,[Dol Guldur] Uruk Medium Helmet VIII,dol_guldur,head,medium,0,35,23,-12,6.0,2.8,Plate,Chainmail,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_elite_a,[Dol Guldur] Uruk Elite Chest I,dol_guldur,body,elite,0,30,49,19,9.0,24.2,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_elite_b,[Dol Guldur] Uruk Elite Chest II,dol_guldur,body,elite,1,35,50,15,9.3,24.2,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_elite_c,[Dol Guldur] Uruk Elite Chest III,dol_guldur,body,elite,2,35,51,16,9.5,24.2,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_elite_d,[Dol Guldur] Uruk Elite Chest IV,dol_guldur,body,elite,3,35,52,17,9.7,24.2,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_elite_e,[Dol Guldur] Uruk Elite Chest V,dol_guldur,body,elite,4,35,53,18,9.9,24.2,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_elite_f,[Dol Guldur] Uruk Elite Chest VI,dol_guldur,body,elite,5,35,54,19,10.0,24.2,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_heavy_a,[Dol Guldur] Uruk Heavy Chest I,dol_guldur,body,heavy,0,25,41,16,7.0,19.8,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_heavy_b,[Dol Guldur] Uruk Heavy Chest II,dol_guldur,body,heavy,1,25,42,17,7.3,19.8,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_heavy_c,[Dol Guldur] Uruk Heavy Chest III,dol_guldur,body,heavy,2,30,43,13,7.6,19.8,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_heavy_d,[Dol Guldur] Uruk Heavy Chest IV,dol_guldur,body,heavy,3,30,44,14,7.8,19.8,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_heavy_e,[Dol Guldur] Uruk Heavy Chest V,dol_guldur,body,heavy,4,30,45,15,8.0,19.8,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_heavy_f,[Dol Guldur] Uruk Heavy Chest VI,dol_guldur,body,heavy,5,30,46,16,8.0,19.8,Plate,Plate,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_light_a,[Dol Guldur] Uruk Light Chest I,dol_guldur,body,light,0,15,19,4,3.0,8.8,Plate,Leather,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_light_b,[Dol Guldur] Uruk Light Chest II,dol_guldur,body,light,1,15,20,5,3.5,8.8,Plate,Leather,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_light_c,[Dol Guldur] Uruk Light Chest III,dol_guldur,body,light,2,15,21,6,3.8,8.8,Plate,Leather,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_light_d,[Dol Guldur] Uruk Light Chest IV,dol_guldur,body,light,3,20,22,2,4.0,8.8,Plate,Leather,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_med_a,[Dol Guldur] Uruk Medium Chest I,dol_guldur,body,medium,0,20,31,11,5.0,14.3,Plate,Chainmail,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_med_b,[Dol Guldur] Uruk Medium Chest II,dol_guldur,body,medium,1,20,32,12,5.2,14.3,Plate,Chainmail,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_med_c,[Dol Guldur] Uruk Medium Chest III,dol_guldur,body,medium,2,20,33,13,5.5,14.3,Plate,Chainmail,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_med_d,[Dol Guldur] Uruk Medium Chest IV,dol_guldur,body,medium,3,20,34,14,5.7,14.3,Plate,Chainmail,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_med_e,[Dol Guldur] Uruk Medium Chest V,dol_guldur,body,medium,4,25,35,10,5.9,14.3,Plate,Chainmail,CHANGED
dol_guldur\body_armors.xml,sk_dg_uruk_chest_med_f,[Dol Guldur] Uruk Medium Chest VI,dol_guldur,body,medium,5,25,36,11,6.0,14.3,Plate,Chainmail,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_a,[Dol Guldur] Elite Bracer I,dol_guldur,arm,elite,0,40,25,-15,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_b,[Dol Guldur] Elite Bracer II,dol_guldur,arm,elite,1,40,26,-14,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_c,[Dol Guldur] Elite Bracer III,dol_guldur,arm,elite,2,40,27,-13,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_d,[Dol Guldur] Elite Bracer IV,dol_guldur,arm,elite,3,40,28,-12,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_e,[Dol Guldur] Elite Bracer V,dol_guldur,arm,elite,4,40,29,-11,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_f,[Dol Guldur] Elite Bracer VI,dol_guldur,arm,elite,5,40,30,-10,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_g,[Dol Guldur] Elite Bracer VII,dol_guldur,arm,elite,0,40,25,-15,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_h,[Dol Guldur] Elite Bracer VIII,dol_guldur,arm,elite,0,40,25,-15,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_elite_i,[Dol Guldur] Elite Bracer IX,dol_guldur,arm,elite,0,40,25,-15,6.0,2.2,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_heavy_a,[Dol Guldur] Heavy Bracer I,dol_guldur,arm,heavy,0,30,19,-11,5.0,1.7,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_heavy_b,[Dol Guldur] Heavy Bracer II,dol_guldur,arm,heavy,1,30,20,-10,5.0,1.7,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_heavy_c,[Dol Guldur] Heavy Bracer III,dol_guldur,arm,heavy,2,35,21,-14,5.0,1.7,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_heavy_d,[Dol Guldur] Heavy Bracer IV,dol_guldur,arm,heavy,3,35,22,-13,5.0,1.7,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_heavy_e,[Dol Guldur] Heavy Bracer V,dol_guldur,arm,heavy,4,35,23,-12,5.0,1.7,Plate,Plate,CHANGED
dol_guldur\arm_armors.xml,sk_dg_uruk_bracer_heavy_f,[Dol Guldur] Heavy Bracer VI,dol_guldur,arm,heavy,5,35,24,-11,5.0,1.7,Plate,Plate,CHANGED
