culture,required_combo,purpose,equipmentType,found_count,status,tier
lothlorien,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
lothlorien,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
lothlorien,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
isengard,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
isengard,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
isengard,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
isengard,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
isengard,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,6,PASS,mandatory
isengard,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,6,PASS,mandatory
isengard,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
isengard,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
isengard,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
isengard,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
isengard,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
isengard,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
gundabad,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
gundabad,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
gundabad,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
gundabad,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
gundabad,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,6,PASS,mandatory
gundabad,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,6,PASS,mandatory
gundabad,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
gundabad,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
gundabad,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
gundabad,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
gundabad,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
gundabad,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
umbar,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
umbar,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
umbar,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
umbar,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
umbar,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,6,PASS,mandatory
umbar,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,6,PASS,mandatory
umbar,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
umbar,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
umbar,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
umbar,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
umbar,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
umbar,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
dolguldur,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
dolguldur,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
dolguldur,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
dolguldur,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
dolguldur,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,6,PASS,mandatory
dolguldur,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,6,PASS,mandatory
dolguldur,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
dolguldur,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
dolguldur,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
dolguldur,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
dolguldur,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
dolguldur,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
gondor,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
gondor,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
gondor,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
gondor,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
gondor,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,6,PASS,mandatory
gondor,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,6,PASS,mandatory
gondor,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
gondor,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
gondor,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
gondor,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
gondor,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
gondor,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
mordor,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
mordor,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
mordor,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
mordor,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
mordor,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,6,PASS,mandatory
mordor,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,6,PASS,mandatory
mordor,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
mordor,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
mordor,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
mordor,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
mordor,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
mordor,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
shaghana,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
shaghana,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
shaghana,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
shaghana,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
shaghana,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,1,PASS,mandatory
shaghana,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,1,PASS,mandatory
shaghana,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
shaghana,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
shaghana,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
shaghana,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
shaghana,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
shaghana,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
abanissa,IsLordTemplate,Male lord battle,Battle,1,PASS,mandatory
abanissa,IsFemaleTemplate | IsLordTemplate,Female lord battle,Battle,1,PASS,mandatory
abanissa,IsLordTemplate,Male lord civilian,Civilian,1,PASS,mandatory
abanissa,IsFemaleTemplate | IsLordTemplate,Female lord civilian,Civilian,1,PASS,mandatory
abanissa,IsChildEquipmentTemplate | IsLordTemplate,Male lord child,Civilian,1,PASS,mandatory
abanissa,IsChildEquipmentTemplate | IsFemaleTemplate | IsLordTemplate,Female lord child,Civilian,1,PASS,mandatory
abanissa,IsLordTemplate | IsTeenagerEquipmentTemplate,Male lord teen,Civilian,1,PASS,mandatory
abanissa,IsFemaleTemplate | IsLordTemplate | IsTeenagerEquipmentTemplate,Female lord teen,Civilian,1,PASS,mandatory
abanissa,IsKingdomRulerTemplate,Male king battle,Battle,1,PASS,optional
abanissa,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen battle,Battle,1,PASS,optional
abanissa,IsKingdomRulerTemplate,Male king civilian,Civilian,1,PASS,optional
abanissa,IsFemaleTemplate | IsKingdomRulerTemplate,Female queen civilian,Civilian,1,PASS,optional
