Unique issues: 78
Min: 122, Max: 199
#157  audit-impl                                SettlementGuards PrepareGuardAgentDataFromGarrison: v1.3.15 staticness unverified + bare c
#158  audit-impl                                BannerColor AgentVisuals.Create manual patch: missing LogWarning fallback
#159  audit-impl                                BannerColor MobilePartyVisual.AddCharacterToPartyIcon: in modreq binding uncertainty
#160  audit-impl                                CharacterSelection RefreshCharacterEntityAuxPatch throws hard on IL mismatch
#161  audit-impl                                ArmyTargeting Patch22: 3 uncached IoC.Resolve calls in hot path (~500-2000 calls/cycle)
#162  audit-impl                                CustomBattles Patch19_OnCultureSelection: private method patch, v1.3.15 unverified
#163  audit-impl                                CharacterCreation SpawnNonHuman Finalizer swallows all NREs unconditionally
#164  audit-impl                                Misc Harmony patch cleanups: bare catch{}, missing [HarmonyPostfix] attrs, missing LogWarn
#165  audit-impl                                audit(impl): CareerSystem UI — sprite registration gap (29 portraits + 41 abilities + al
#166  audit-impl                                audit(impl): Messengers UI — mixin notifies wrong VM (host instead of self) + unused [Da
#167  audit-impl                                audit(impl): SpecialResources UI — 8 of 11 sprite icons missing + SecondaryInfoItems.Add
#168  audit-impl                                audit(impl): TimeAcceleration UI — wrong state signal (SpeedUpMultiplier never raised by
#169  audit-impl                                audit(impl): Custom Widgets — per-frame allocations + static-list race + cross-thread wr
#170  audit-impl                                audit(impl): SmartCavalryAI × MixedFormations × CompanionTactics — handshake test gap 
#171  audit-impl                                audit(impl): CharacterCreation × HeroRace × RaceAge — stale race ID persistence + Pref
#172  audit-impl                                audit(impl): BannerColorPersistence × BannerInjection × Patch24 — all-clan drift block
#173  audit-impl                                audit(impl): CareerSystem × TroopProgression via CareerPassiveHelper — service locator 
#174  audit-impl                                audit(impl): SpecialResources × CareerSystem inventory upgrade — career discount not ap
#175  audit-impl                                audit(impl): FactionMap × CharacterCreation widget lifecycle — _factionVM stale + _pend
#176  audit-impl,audit-tests                    audit-tests: CulturalFeats — 16 GameModels with zero behavior-hook tests
#177  audit-impl,audit-tests                    audit-tests: FiefManagement — 5 behavior callbacks untested (ADR-008 80% hook target unm
#178  audit-impl,audit-tests                    audit-tests: Warg — refactor IWargAttackService to use IAgentAdapter (ADR-007); 2 method
#179  audit-impl,audit-tests                    audit-tests: RaceAge — TaomPregnancyModel.GetDailyChanceOfPregnancyForHero untested + cr
#180  audit-impl,audit-tests                    audit-tests: TroopProgression — TaomPartyWageModel.GetTotalWage untested + CareerPassive
#181  audit-impl,audit-tests                    audit-tests: CharacterCreation+HeroRace — race ID round-trip via save/load
#182  audit-impl,audit-tests                    audit-tests: CompanionTactics+SmartCavalryAI — behavior ordering + shared SetMovementOrd
#183  audit-impl,audit-tests                    audit-tests: HeroRace — RacePersistenceBehavior.OnSessionLaunched restore + cross-featur
#184  audit-impl,audit-tests                    audit-tests: NamedCompanions — EnsureCompanionsPlaced state-matrix coverage
#185  audit-impl,audit-tests                    audit-tests: AdvancedCombat — SpatialGridDebugService.RenderDebugVisualization untested
#186  audit-impl,audit-tests                    audit-tests: Spider — SpawnSpiders invocation contract + integration hook
#187  audit-impl,audit-tests                    audit-tests: BannerColorPersistence — triplet event-ordering and re-entry sequencing
#188  audit-impl,audit-tests                    audit-tests: FactionMap — CultureStageView re-entry lifecycle (pending pins, stale VM)
#189  audit-impl,audit-tests                    audit-tests: MixedFormations — SmartCavalryAI handshake (RepresentativeIsCavalry guards)
#190  audit-impl,audit-tests                    audit-tests: SmartCavalryAI — cross-feature integration with MixedFormations (cavalry ex
#191  audit-impl,audit-tests                    audit-tests: Messengers — IoC + RegisterEvents wiring regression smoke test (#121)
#192  audit-impl,audit-tests                    audit-tests: SettlementGuards — manual Harmony patch wiring regression test
#193  audit-impl,audit-tests                    audit-tests: SiegeDismount — manual Harmony patch wiring regression test
#194  audit-impl,audit-tests                    audit-tests: SpecialResources — tiered-cost + passive-discount regression test (#174)
#195  audit-impl,audit-tests                    audit-tests: TroopWeight — 4 IOn* hook implementations untested; ADR-008 80% hook covera
#196  audit-impl,audit-docs                     audit-docs: Execution — docs/features/execution.md MISSING (Phase 0 #19 carryover)
#197  audit-impl,audit-docs                     audit-docs: CompanionTactics — feature is build-disabled, status hidden in Known Limitat
#198  audit-impl,audit-docs                     audit-docs: AdvancedCombat — Tests section claims no tests, but BoneCollisionServiceTest
#199  audit-impl,audit-docs                     audit-docs: Warg — Tests section claims no dedicated test files, but WargAttackServiceTe
