# Armoury mesh catalogue. GENERATED by tools/generate_armory_catalogue.py, do not hand-edit.
# source=LOTRLOME_Armory/Assets  tpacs=4364  metameshes=4456  physicsshapes=383
# Regenerate after any art drop. `--diff` classifies rename vs move vs delete.
mesh	kind	prefix	culture	sub	category	tier	variant	folder	tpac	referenced	source
bo_cap_sm_dwarf_erebor_shield_tower	physicsshape	bo	dwarf	erebor	shield	-	-	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_cap_sm_gd_shield_a	physicsshape	bo	gondor	-	shield	-	a	gondor_weapons	gondor_weapons/shields/SM_GD_Shield_A_geo.tpac	Y	parsed
bo_cap_sm_iron_shield	physicsshape	bo	dwarf	-	shield	-	-	erebor_weapons	erebor_weapons/iron_hills_weapons/SM_Dwarf_Iron_Shields_geo.tpac	Y	parsed
bo_cap_sm_iron_shield_tower	physicsshape	bo	dwarf	-	shield	-	-	erebor_weapons	erebor_weapons/iron_hills_weapons/SM_Dwarf_Iron_Shields_geo.tpac	Y	parsed
bo_cap_sm_md_mor_shield_heavy_a	physicsshape	bo	mordor	mor	shield	heavy	a	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_heavy_b	physicsshape	bo	mordor	mor	shield	heavy	b	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_heavy_c	physicsshape	bo	mordor	mor	shield	heavy	c	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_heavy_d	physicsshape	bo	mordor	mor	shield	heavy	d	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_light_a	physicsshape	bo	mordor	mor	shield	light	a	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_light_b	physicsshape	bo	mordor	mor	shield	light	b	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_light_c	physicsshape	bo	mordor	mor	shield	light	c	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_light_d	physicsshape	bo	mordor	mor	shield	light	d	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_med_a	physicsshape	bo	mordor	mor	shield	med	a	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_med_b	physicsshape	bo	mordor	mor	shield	med	b	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_med_c	physicsshape	bo	mordor	mor	shield	med	c	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_mor_shield_med_d	physicsshape	bo	mordor	mor	shield	med	d	mordor_props	mordor_props/morannon_weapons/SK_MD_Mor_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_num_cav_shield_heavy_a	physicsshape	bo	mordor	num	shield	heavy	a	mordor_props	mordor_props/black_num_weapons/SK_MD_Num_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_md_num_cav_shield_med_a	physicsshape	bo	mordor	num	shield	med	a	mordor_props	mordor_props/black_num_weapons/SK_MD_Num_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_md_num_inf_shield_heavy_a	physicsshape	bo	mordor	num	shield	heavy	a	mordor_props	mordor_props/black_num_weapons/SK_MD_Num_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_md_num_inf_shield_med_a	physicsshape	bo	mordor	num	shield	med	a	mordor_props	mordor_props/black_num_weapons/SK_MD_Num_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_md_orc_shield_a	physicsshape	bo	mordor	orc	shield	-	a	mordor_props	mordor_props/orc_weapons/SK_MD_Orc_Weapon_Shield_A_geo.tpac	N	parsed
bo_cap_sm_md_orc_shield_b	physicsshape	bo	mordor	orc	shield	-	b	mordor_props	mordor_props/orc_weapons/SK_MD_Orc_Weapon_Shield_B_geo.tpac	N	parsed
bo_cap_sm_rh_loke_shield_a	physicsshape	bo	rhun	loke	shield	-	a	rhun_weapons	rhun_weapons/loke/SK_RH_Loke_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_rh_loke_shield_c	physicsshape	bo	rhun	loke	shield	-	c	rhun_weapons	rhun_weapons/loke/SK_RH_Loke_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_rh_loke_shield_cav_a	physicsshape	bo	rhun	loke	shield	-	a	rhun_weapons	rhun_weapons/loke/SK_RH_Loke_Shields_A_geo.tpac	Y	parsed
bo_cap_sm_rh_loke_shield_tower_a	physicsshape	bo	rhun	loke	shield	-	a	rhun_weapons	rhun_weapons/loke/SK_RH_Loke_Shields_A_geo.tpac	Y	parsed
bo_cap_wm_boromir_shield	physicsshape	bo	gondor	-	shield	-	-	gondor_weapons	gondor_weapons/shields/wm_boromir_shield_horn_geo.tpac	Y	parsed
bo_cap_wm_cave_troll_shield_a01	physicsshape	bo	creature	-	body	-	a01	weapons	weapons/Mordor/troll/wm_cave_troll_ws_1_geo.tpac	Y	parsed
bo_cap_wm_dale_shield_a01	physicsshape	bo	dale	-	shield	-	a01	shield	shield/dale/wm_dale_kingdom_ws_1_shields_geo.tpac	Y	parsed
bo_cap_wm_dale_shield_a04	physicsshape	bo	dale	-	shield	-	a04	shield	shield/dale/wm_dale_kingdom_ws_1_shields_geo.tpac	Y	parsed
bo_cap_wm_dale_shield_b01	physicsshape	bo	dale	-	shield	-	b01	shield	shield/dale/wm_dale_kingdom_ws_1_shields_geo.tpac	Y	parsed
bo_cap_wm_dale_shield_b02	physicsshape	bo	dale	-	shield	-	b02	shield	shield/dale/wm_dale_kingdom_ws_1_shields_geo.tpac	Y	parsed
bo_cap_wm_elven_shield_a	physicsshape	bo	elf	-	shield	-	a	shield	shield/High Elven/wm_elven_shield_a_geo.tpac	Y	parsed
bo_cap_wm_gf_knight_shield	physicsshape	bo	rivendell	knight	shield	-	-	weapons	weapons/Rivendell/Flower Knights/wm_flower_knights_ws_geo.tpac	Y	parsed
bo_cap_wm_gf_knight_shield_cloth	physicsshape	bo	rivendell	knight	shield	-	-	weapons	weapons/Rivendell/Flower Knights/wm_flower_knights_ws_geo.tpac	Y	parsed
bo_cap_wm_gondor_shield_b	physicsshape	bo	gondor	-	shield	-	b	shield	shield/Gondor/wm_gondor_shield_b_geo.tpac	Y	parsed
bo_cap_wm_gondor_shield_c	physicsshape	bo	gondor	-	shield	-	c	shield	shield/Gondor/wm_gondor_shield_c_geo.tpac	Y	parsed
bo_cap_wm_gundabad_shield_a01	physicsshape	bo	gundabad	-	shield	-	a01	gundabad_weapons	gundabad_weapons/wm_gundabad_ws_geo.tpac	Y	parsed
bo_cap_wm_gundabad_shield_a02	physicsshape	bo	gundabad	-	shield	-	a02	gundabad_weapons	gundabad_weapons/wm_gundabad_ws_geo.tpac	Y	parsed
bo_cap_wm_gundabad_shield_a03	physicsshape	bo	gundabad	-	shield	-	a03	gundabad_weapons	gundabad_weapons/wm_gundabad_ws_geo.tpac	Y	parsed
bo_cap_wm_harad_bow_a01	physicsshape	bo	harad	-	weapon	-	a01	weapons	weapons/Harad/wm_harad_ws_v1_geo.tpac	Y	parsed
bo_cap_wm_harad_bow_a02	physicsshape	bo	harad	-	weapon	-	a02	weapons	weapons/Harad/wm_harad_ws_v1_geo.tpac	Y	parsed
bo_cap_wm_isengard_shield_a01	physicsshape	bo	isengard	-	shield	-	a01	weapons	weapons/Isengard/wm_isengard_weapon_pack_geo.tpac	Y	parsed
bo_cap_wm_isengard_shield_a01_clean	physicsshape	bo	isengard	-	shield	-	-	weapons	weapons/Isengard/Shields No Hand/t_isengard_weapon_set4_nohand_geo.tpac	Y	parsed
bo_cap_wm_isengard_shield_a02	physicsshape	bo	isengard	-	shield	-	a02	weapons	weapons/Isengard/wm_isengard_weapon_pack_geo.tpac	Y	parsed
bo_cap_wm_ithilien_bow	physicsshape	bo	gondor	-	weapon	-	-	weapons	weapons/bow/Gondor/wm_ithilien_bow_geo.tpac	Y	parsed
bo_cap_wm_mirkwood_shield_a01	physicsshape	bo	mirkwood	-	shield	-	a01	weapons	weapons/Mirkwood/wm_mirkwood_weapon_set1_geo.tpac	Y	parsed
bo_cap_wm_pavise_shield_tolfalas	physicsshape	bo	gondor	-	shield	-	-	weapons	weapons/Thyrell/wm_sk_shields_lances_geo.tpac	Y	parsed
bo_cap_wm_pelargir_shield_a	physicsshape	bo	gondor	-	shield	-	a	weapons	weapons/Thyrell/wm_sk_shields_lances_geo.tpac	Y	parsed
bo_cap_wm_pelargir_shield_b	physicsshape	bo	gondor	-	shield	-	b	weapons	weapons/Thyrell/wm_sk_shields_lances_geo.tpac	Y	parsed
bo_cap_wm_rivendell_shield_a02	physicsshape	bo	rivendell	-	shield	-	a02	shield	shield/High Elven/Rivendell_2/wm_rivendell_ws_1_geo.tpac	Y	parsed
bo_cap_wm_rohan_shield_a01	physicsshape	bo	rohan	-	shield	-	a01	shield	shield/Rohan/Rohan_Solus/wm_rohan_shields_geo.tpac	Y	parsed
bo_cap_wm_rohan_shield_a02	physicsshape	bo	rohan	-	shield	-	a02	shield	shield/Rohan/Rohan_Solus/wm_rohan_shields_geo.tpac	Y	parsed
bo_cap_wm_rohan_shield_a03	physicsshape	bo	rohan	-	shield	-	a03	shield	shield/Rohan/Rohan_Solus/wm_rohan_shields_geo.tpac	Y	parsed
bo_cap_wm_rohan_shield_b01	physicsshape	bo	rohan	-	shield	-	b01	shield	shield/Rohan/Rohan_Solus/wm_rohan_shields_geo.tpac	Y	parsed
bo_cap_wm_theoden_shield	physicsshape	bo	rohan	-	shield	-	-	shield	shield/Rohan/Theoden/wm_theoden_shield_geo.tpac	Y	parsed
bo_cap_wm_tuors_shield	physicsshape	bo	elf	-	shield	-	-	weapons	weapons/Thyrell/wm_tuor_shield_geo.tpac	N	parsed
bo_capwm_isengard_shield_a02_clean	physicsshape	bo	isengard	-	shield	-	-	weapons	weapons/Isengard/Shields No Hand/t_isengard_weapon_set4_nohand_geo.tpac	Y	parsed
bo_cts_rohan_shield	physicsshape	bo	rohan	rohan	shield	-	-	shield	shield/Rohan/cts_rohan_shield_1_2_geo.tpac	Y	parsed
bo_dunland_caerdh_axe_blade_1h_a	physicsshape	bo	dunland	caerdh	weapon	-	a	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_a_geo.tpac	Y	parsed
bo_dunland_caerdh_axe_blade_1h_b	physicsshape	bo	dunland	caerdh	weapon	-	b	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_a_geo.tpac	Y	parsed
bo_dunland_caerdh_axe_blade_2h_a	physicsshape	bo	dunland	caerdh	weapon	-	a	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_a_geo.tpac	Y	parsed
bo_dunland_caerdh_axe_blade_2h_b	physicsshape	bo	dunland	caerdh	weapon	-	b	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_a_geo.tpac	Y	parsed
bo_dunland_caerdh_shield	physicsshape	bo	dunland	caerdh	shield	-	-	dunland_weapons	dunland_weapons/dunland_caerdh_shields_geo.tpac	Y	parsed
bo_dunland_caerdh_spear_head_a	physicsshape	bo	dunland	caerdh	weapon	-	a	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_b_geo.tpac	Y	parsed
bo_dunland_caerdh_spear_head_b	physicsshape	bo	dunland	caerdh	weapon	-	b	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_b_geo.tpac	Y	parsed
bo_dunland_caerdh_spear_head_c	physicsshape	bo	dunland	caerdh	weapon	-	c	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_b_geo.tpac	Y	parsed
bo_dunland_caerdh_spear_head_d	physicsshape	bo	dunland	caerdh	weapon	-	d	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_b_geo.tpac	Y	parsed
bo_dunland_caerdh_spear_head_e	physicsshape	bo	dunland	caerdh	weapon	-	e	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_b_geo.tpac	Y	parsed
bo_dunland_caerdh_sword_blade_2h_a	physicsshape	bo	dunland	caerdh	weapon	-	a	dunland_weapons	dunland_weapons/dunland_caerdh_weapons_a_geo.tpac	Y	parsed
bo_dunland_prop_wulf_bag_a	physicsshape	bo	dunland	-	prop	-	a	dunland_weapons	dunland_weapons/dunland_wulf_props_a_geo.tpac	N	parsed
bo_dunland_prop_wulf_bag_b	physicsshape	bo	dunland	-	prop	-	b	dunland_weapons	dunland_weapons/dunland_wulf_props_a_geo.tpac	N	parsed
bo_dunland_prop_wulf_bag_c	physicsshape	bo	dunland	-	prop	-	c	dunland_weapons	dunland_weapons/dunland_wulf_props_a_geo.tpac	N	parsed
bo_dunland_prop_wulf_bottle_pouch_a	physicsshape	bo	dunland	-	prop	-	a	dunland_weapons	dunland_weapons/dunland_wulf_props_a_geo.tpac	N	parsed
bo_dunland_prop_wulf_horn_a	physicsshape	bo	dunland	-	prop	-	a	dunland_weapons	dunland_weapons/dunland_wulf_props_a_geo.tpac	N	parsed
bo_dunland_prop_wulf_horn_b	physicsshape	bo	dunland	-	prop	-	b	dunland_weapons	dunland_weapons/dunland_wulf_props_a_geo.tpac	N	parsed
bo_dunland_wulf_shield_a	physicsshape	bo	dunland	wulf	shield	-	a	dunland_weapons	dunland_weapons/dunland_wulf_shields_geo.tpac	Y	parsed
bo_dunland_wulf_shield_c	physicsshape	bo	dunland	wulf	shield	-	c	dunland_weapons	dunland_weapons/dunland_wulf_shields_geo.tpac	Y	parsed
bo_dunland_wulf_shield_e	physicsshape	bo	dunland	wulf	shield	-	e	dunland_weapons	dunland_weapons/dunland_wulf_shields_geo.tpac	Y	parsed
bo_mordor_shield_mid_a	physicsshape	bo	mordor	-	shield	-	a	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_mordor_shield_small_a	physicsshape	bo	mordor	-	shield	-	a	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_mordor_shield_tower_a	physicsshape	bo	mordor	-	shield	-	a	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_mordor_shield_tower_b	physicsshape	bo	mordor	-	shield	-	b	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_numenorean_sword_blade_a	physicsshape	bo	numenorean	-	weapon	-	a	arnor_weapons	arnor_weapons/numenorean_swords_a_geo.tpac	Y	parsed
bo_numenorean_sword_blade_b	physicsshape	bo	numenorean	-	weapon	-	b	arnor_weapons	arnor_weapons/numenorean_swords_a_geo.tpac	Y	parsed
bo_numenorean_sword_blade_c	physicsshape	bo	numenorean	-	weapon	-	c	arnor_weapons	arnor_weapons/numenorean_swords_a_geo.tpac	Y	parsed
bo_numenorean_sword_blade_d	physicsshape	bo	numenorean	-	weapon	-	d	arnor_weapons	arnor_weapons/numenorean_swords_a_geo.tpac	Y	parsed
bo_numenorean_sword_blade_e	physicsshape	bo	numenorean	-	weapon	-	e	arnor_weapons	arnor_weapons/numenorean_swords_a_geo.tpac	Y	parsed
bo_rohan_horse_shield	physicsshape	bo	rohan	-	barding	-	-	shield	shield/Rohan/Rohan_horse_shield_geo.tpac	N	parsed
bo_sm_ar_art_poleaxe_blade_a	physicsshape	bo	arnor	art	weapon	-	a	arnor_weapons	arnor_weapons/SM_AR_Art_Poleaxe_A_geo.tpac	N	parsed
bo_sm_ar_art_poleaxe_blade_b	physicsshape	bo	arnor	art	weapon	-	b	arnor_weapons	arnor_weapons/SM_AR_Art_Poleaxe_A_geo.tpac	N	parsed
bo_sm_dwarf_dain_axe_blade_a	physicsshape	bo	dwarf	dain	weapon	-	a	erebor_armor	erebor_armor/Dain/SM_Dwarf_Dain_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_dain_hammer_blade_b	physicsshape	bo	dwarf	dain	weapon	-	b	erebor_armor	erebor_armor/Dain/SM_Dwarf_Dain_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_axe_blade_1h_a	physicsshape	bo	dwarf	erebor	weapon	-	a	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_axe_blade_1h_b	physicsshape	bo	dwarf	erebor	weapon	-	b	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_axe_blade_2h_a	physicsshape	bo	dwarf	erebor	weapon	-	a	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_axe_blade_2h_b	physicsshape	bo	dwarf	erebor	weapon	-	b	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_axe_blade_2h_c	physicsshape	bo	dwarf	erebor	weapon	-	c	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_axe_blade_2h_d	physicsshape	bo	dwarf	erebor	weapon	-	d	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_bow_a	physicsshape	bo	dwarf	erebor	weapon	-	a	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Bows_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_bow_b	physicsshape	bo	dwarf	erebor	weapon	-	b	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Bows_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_hammer_blade_2h_a	physicsshape	bo	dwarf	erebor	weapon	-	a	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_shield_leather	physicsshape	bo	dwarf	erebor	shield	-	-	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_shield_metal	physicsshape	bo	dwarf	erebor	shield	-	-	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_shield_metal_d	physicsshape	bo	dwarf	erebor	shield	-	d	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_shield_tower	physicsshape	bo	dwarf	erebor	shield	-	-	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_spear_blade_a	physicsshape	bo	dwarf	erebor	weapon	-	a	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_erebor_spear_blade_b	physicsshape	bo	dwarf	erebor	weapon	-	b	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_iron_axe_blade_a	physicsshape	bo	dwarf	iron	weapon	-	a	erebor_weapons	erebor_weapons/iron_hills_weapons/SM_Dwarf_Iron_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_iron_axe_blade_b	physicsshape	bo	dwarf	iron	weapon	-	b	erebor_weapons	erebor_weapons/iron_hills_weapons/SM_Dwarf_Iron_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_iron_hammer_blade_a	physicsshape	bo	dwarf	iron	weapon	-	a	erebor_weapons	erebor_weapons/iron_hills_weapons/SM_Dwarf_Iron_Weapons_geo.tpac	Y	parsed
bo_sm_dwarf_iron_hammer_blade_b	physicsshape	bo	dwarf	iron	weapon	-	b	erebor_weapons	erebor_weapons/iron_hills_weapons/SM_Dwarf_Iron_Weapons_geo.tpac	Y	parsed
